Aspect,Positive,Negative,Neutral
battery,21,0,0
life,9,0,0
quality,9,0,3
island,6,0,0
speed,6,0,0
read,12,3,3
designone,3,0,0
change,6,0,0
iphone,45,3,0
design,6,0,0
phone,33,0,0
edge,3,0,0
hand,3,0,0
camera,15,0,0
bump,3,0,0
retina,3,0,0
display,9,0,0
contrast,3,0,0
chip,15,0,0
market,3,0,0
bionic,3,0,0
a15,3,0,0
sensor,3,0,0
performance,3,0,0
telephoto,3,0,0
camerabattery,3,0,0
lifethe,3,0,0
mean,3,0,0
day,6,0,0
charge,6,0,0
upgrade,3,0,0
camerabrighter,3,0,0
islandcons,3,0,0
macro,3,0,0
photography,3,0,0
device,3,0,0
feature,3,0,0
medium,0,0,3
option,0,0,3
disadvantage,0,0,3
transition,3,0,0
pov,3,0,0
month,3,0,0
compliants,3,0,0
screen,9,0,0
fluidity,3,0,0
smooooooth,3,0,0
lcd,3,0,0
panel,6,0,0
peak,3,0,0
brightness,9,0,0
xr,9,0,0
nit,3,0,0
save,6,0,0
juice,3,0,0
crank,3,0,0
fun,3,0,0
way,3,0,0
delivery,3,0,0
uber,3,0,0
solution,6,0,0
app,12,0,0
check,3,0,0
weight,3,0,0
soo,3,0,0
light,3,0,0
brick,6,0,0
love,3,0,0
intervention,3,0,0
portrait,3,0,0
mode,12,0,0
job,3,0,0
system,3,0,0
integration,3,0,0
approach,3,0,0
security,6,0,0
transferring,3,0,0
data,6,0,0
flawlesscons,3,0,0
heating,3,0,0
apple,9,3,0
erase,3,0,0
reset,3,0,0
esim,3,0,0
setting,3,0,0
work,3,0,0
charm,3,0,0
purchasesindustry,3,0,0
meme,3,0,0
c,3,0,0
review,3,0,0
yea,3,0,0
yadadada,3,0,0
people,9,0,0
shade,3,0,0
product,9,0,0
show,3,0,0
buy,3,0,0
comment,3,0,0
rate,3,0,0
80k,3,0,0
joke,3,0,0
u,3,0,0
gamers,3,0,0
ton,3,0,0
folk,3,0,0
call,6,0,0
video,3,0,0
textingtips,3,0,0
health,6,0,0
switch,9,0,0
background,3,0,0
apps,3,0,0
ground,3,0,0
wireless,6,0,0
heat,3,0,0
devise,3,0,0
power,3,0,0
bank,3,0,0
charging,3,3,0
location,6,0,0
service,6,0,0
optimisation,3,0,0
section,3,0,0
vibrate,3,0,0
ringsincoming,3,0,0
year,3,0,0
guess,3,0,0
customer,3,0,0
purchase,3,3,0
experience,6,0,0
thanks,3,0,0
team,3,0,0
support,3,0,0
collaboration,3,0,0
future,3,0,0
watch,3,0,0
space,3,0,0
case,3,0,0
son,3,0,0
overheat,0,3,0
charger,0,3,0
concern,0,3,0
net,0,3,0
